funding,words,images,gifs,videos,stretch goals,backers,campaign dur,twitter followers,platforms,developers,prev campaigns,steam,handdrawn,pixel
1.33,943.0,8.0,8.0,3.0,8.0,525.0,30.0,2440.0,4.0,1.0,0.0,1.0,1.0,1.0
0.003,1039.0,15.0,4.0,1.0,7.0,10.0,30.0,7.0,1.0,3.0,0.0,0.0,0.0,0.0
1.22,2428.0,12.0,9.0,1.0,3.0,858.0,30.0,3529.0,1.0,1.0,1.0,1.0,1.0,1.0
0.05,386.0,3.0,0.0,0.0,0.0,15.0,36.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
1.22,798.0,10.0,7.0,1.0,3.0,601.0,30.0,970.0,2.0,6.0,1.0,0.0,1.0,1.0
0.68,1134.0,15.0,5.0,1.0,0.0,300.0,30.0,2152.0,3.0,3.0,1.0,1.0,1.0,1.0
3.87,3549.0,11.0,8.0,1.0,11.0,7472.0,30.0,10200.0,1.0,7.0,1.0,1.0,1.0,1.0
0.09,1196.0,0.0,0.0,1.0,5.0,22.0,25.0,62.0,1.0,1.0,0.0,1.0,1.0,1.0
1.35,1965.0,16.0,12.0,2.0,5.0,1163.0,32.0,8660.0,3.0,2.0,0.0,1.0,1.0,1.0
0.01,2276.0,5.0,2.0,2.0,3.0,10.0,60.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
4.54,1431.0,8.0,8.0,1.0,9.0,2118.0,30.0,4511.0,3.0,4.0,0.0,1.0,1.0,0.0
0.44,1260.0,18.0,2.0,1.0,0.0,278.0,35.0,1055.0,2.0,5.0,1.0,1.0,1.0,0.0
1.09,2231.0,12.0,3.0,1.0,3.0,268.0,35.0,113.0,3.0,9.0,0.0,1.0,0.0,0.0
0.22,1116.0,10.0,0.0,1.0,2.0,217.0,30.0,90.0,3.0,2.0,0.0,1.0,0.0,0.0
10.1,1869.0,12.0,6.0,1.0,12.0,19695.0,30.0,22800.0,6.0,6.0,0.0,1.0,1.0,0.0
0.55,1166.0,6.0,5.0,1.0,0.0,21.0,30.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
0.1,2627.0,10.0,3.0,1.0,3.0,18.0,30.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
1.12,1038.0,5.0,2.0,2.0,3.0,388.0,27.0,519.0,4.0,9.0,3.0,1.0,0.0,0.0
1.36,1960.0,24.0,18.0,1.0,3.0,881.0,40.0,2633.0,4.0,7.0,0.0,1.0,1.0,0.0
0.15,349.0,3.0,3.0,1.0,6.0,31.0,60.0,2043.0,1.0,1.0,0.0,1.0,1.0,1.0
1.05,596.0,4.0,3.0,1.0,5.0,134.0,30.0,222.0,3.0,5.0,0.0,1.0,1.0,1.0
0.05,1208.0,5.0,4.0,1.0,0.0,64.0,30.0,39.0,3.0,5.0,0.0,1.0,1.0,1.0
8.08,1818.0,11.0,6.0,3.0,0.0,4681.0,31.0,26200.0,4.0,7.0,0.0,1.0,1.0,0.0
16.16,2539.0,53.0,9.0,1.0,10.0,5958.0,38.0,2431.0,6.0,12.0,0.0,1.0,1.0,0.0
0.03,1014.0,34.0,11.0,1.0,4.0,41.0,30.0,64.0,1.0,2.0,0.0,0.0,1.0,0.0
0.23,2939.0,36.0,19.0,2.0,0.0,248.0,30.0,535.0,2.0,4.0,0.0,0.0,0.0,0.0
0.17,436.0,2.0,0.0,1.0,0.0,20.0,45.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
1.03,1717.0,10.0,1.0,4.0,0.0,2864.0,30.0,2336.0,4.0,1.0,0.0,1.0,1.0,1.0
1.98,2375.0,12.0,3.0,1.0,5.0,2441.0,30.0,1026.0,3.0,7.0,0.0,1.0,1.0,1.0
5.27,1286.0,17.0,16.0,1.0,10.0,4466.0,30.0,8320.0,1.0,2.0,0.0,1.0,1.0,1.0
0.04,1300.0,13.0,7.0,1.0,10.0,17.0,60.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0
0.01,549.0,6.0,0.0,0.0,0.0,15.0,31.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
1.22,1582.0,17.0,9.0,2.0,3.0,407.0,30.0,1901.0,4.0,5.0,0.0,1.0,0.0,0.0
0.46,2432.0,20.0,8.0,1.0,6.0,493.0,60.0,3490.0,6.0,4.0,1.0,1.0,1.0,1.0
5.23,699.0,25.0,12.0,1.0,7.0,2919.0,30.0,10000.0,4.0,12.0,0.0,1.0,1.0,1.0
0.34,1972.0,13.0,6.0,2.0,0.0,90.0,40.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0
1.44,2003.0,20.0,8.0,1.0,3.0,639.0,30.0,201.0,6.0,6.0,0.0,0.0,1.0,0.0
0.2,881.0,9.0,2.0,1.0,3.0,176.0,30.0,4044.0,1.0,1.0,0.0,0.0,1.0,1.0
